0,ENSG00000210049,"mitochondrially encoded tRNA-Phe (UUU/C) [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7481"" class=""constant"">HGNC:7481</a>]",MT-TF,,Mt tRNA
1,ENSG00000211459,"mitochondrially encoded 12S rRNA [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7470"" class=""constant"">HGNC:7470</a>]",MT-RNR1,,Mt rRNA
2,ENSG00000210082,"mitochondrially encoded 16S rRNA [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7471"" class=""constant"">HGNC:7471</a>]",MT-RNR2,,Mt rRNA
3,ENSG00000198888,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7455"" class=""constant"">HGNC:7455</a>]",MT-ND1,P03886,Protein coding
4,ENSG00000198763,"mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7456"" class=""constant"">HGNC:7456</a>]",MT-ND2,P03891,Protein coding
5,ENSG00000210144,"mitochondrially encoded tRNA-Tyr (UAU/C) [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7502"" class=""constant"">HGNC:7502</a>]",MT-TY,,Mt tRNA
6,ENSG00000198804,"mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7419"" class=""constant"">HGNC:7419</a>]",MT-CO1,P00395,Protein coding
7,ENSG00000198712,"mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7421"" class=""constant"">HGNC:7421</a>]",MT-CO2,P00403,Protein coding
8,ENSG00000228253,"mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7415"" class=""constant"">HGNC:7415</a>]",MT-ATP8,P03928,Protein coding
9,ENSG00000198899,"mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:<a href=""https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:7414"" class=""constant"">HGNC:7414</a>]",MT-ATP6,P00846,Protein coding
